,Unnamed: 0,language,age,share_flat,flatmates,animals,relationship,clean_satisfaction,clean_outsource,schedule_tool,task_rotation,tasks,shared_expenses,alone_all,use_app,feature_task,feature_expenses,feature_reports,feature_calendar,feature_shoplist
66,66,English,31–37,Yes,4,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,
67,67,English,31–37,No,,,,,,,,,,,,,,,,
68,68,English,31–37,Yes,4,No pets,"Friends, Family",4.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Buying common items",Split the cost,Alone,No,,,,,
69,69,English,25–30,Yes,2,No pets,Partner,3.0,No,We don't schedule our tasks,Never,"Cleaning living-room, Cleaning kitchen",Split the cost,All together,No,,,,,
70,70,English,25–30,No,,,,,,,,,,,,,,,,
71,71,English,More than 37,No,,,,,,,,,,,,,,,,
72,72,English,25–30,Yes,2,No pets,"Friends, Family",3.0,No,We just remember,Twice a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Laundry",Buy it in turns,Alone,No,,,,,
73,73,English,31–37,Yes,2,No pets,"Friends, Family",3.0,No,We just remember,Never,"Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
74,74,English,25–30,Yes,2,No pets,"Friends, Family",5.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
75,75,English,More than 37,Yes,3,Dogs,"Friends, Family",3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry",Buy it in turns,All together,Yes,Very unlikely,Unlikely,Very unlikely,Unlikely,Very unlikely
76,76,English,31–37,Yes,2,No pets,Partner,4.0,No,We don't schedule our tasks,Once a week,"Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
77,77,English,31–37,No,,,,,,,,,,,,,,,,
78,78,English,18–24,Yes,3,No pets,People I met on app,3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen",Split the cost,Alone,Yes,Likely,Likely,Likely,Very likely,Very likely
79,79,English,31–37,Yes,3,No pets,"Friends, Family",4.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
80,80,English,More than 37,Yes,2,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
81,81,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We just remember,Twice a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",We don't really think about it,Alone,Yes,Likely,Very likely,Very likely,Very likely,Very likely
82,82,English,18–24,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
83,83,English,25–30,Yes,2,Cats,"Friends, Family",3.0,No,We just remember,Twice a week,"Cleaning kitchen, Laundry, Buying common items",We don't really think about it,Alone,Yes,Likely,Likely,Neutral,Likely,Likely
84,84,English,More than 37,No,,,,,,,,,,,,,,,,
85,85,English,More than 37,No,,,,,,,,,,,,,,,,
86,86,English,More than 37,Yes,4,Dogs,"Friends, Family",2.0,No,We don't schedule our tasks,Twice a week,"Cleaning bathroom/toilets, Throwing the garbage, Laundry",Split the cost,All together,No,,,,,
87,87,English,18–24,No,,,,,,,,,,,,,,,,
88,88,English,18–24,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
89,89,English,18–24,Yes,3,Cats,"Friends, Family",5.0,No,We just remember,Twice a month,"Cleaning bathroom/toilets, Cleaning living-room, Laundry",We don't really think about it,Alone,Yes,Neutral,Very likely,Likely,Likely,Likely
90,90,English,31–37,Yes,4,No pets,"Friends, Family",3.0,No,We just remember,Twice a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",We don't really think about it,Alone,No,,,,,
91,91,English,18–24,Yes,4,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,
92,92,English,25–30,Yes,4,Dogs,People I met on app,3.0,Yes,,,,,,,,,,,
93,93,English,More than 37,Yes,3,Dogs,"Friends, Family",3.0,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,Alone,No,,,,,
94,94,English,25–30,Yes,4,No pets,People I met on app,3.0,Yes,,,,,,,,,,,
