,Unnamed: 0,Unnamed: 0.1,Marca de temps,Language,How old are you?,Do you share your flat?,How many people do live in the house? ,What kind of animals live in the house?,What kind of relationship do you have with your flatmates?,How satisfied are you with the cleanliness of the house?,Do you outsource the house tasks?,Which tool do you use to schedule your tasks?,How often do you rotate the home tasks?,What kind of tasks are you responsible of?,"How do you deal with the shared expenses? (toilet paper, cleaning products, etc)",Do you rather cleaning alone or all together?,Would you use an app to manage the house tasks?,How likely you are to use this features? [Setting up tasks/shifts/house rules],How likely you are to use this features? [Tracking common expenses],How likely you are to use this features? [Receiving reports of each roommate's contribution],How likely you are to use this features? [Receiving notifications / reviewing task calendar],How likely you are to use this features? [Managing shopping list for household products]
108,108,108,19/01/2021 12:37:55,English,31–37,No,,,,,,,,,,,,,,,,
109,109,109,19/01/2021 12:40:24,English,31–37,Yes,3,No pets,Acquaintances,4.0,No,White board on the fridge door,Once a week,"Cleaning kitchen, Buying common items, Cleaning kitchen, Cleaning bathroom/toilets",Buy it in turns,Alone,Yes,Very likely,Likely,Likely,Very likely,Likely
110,110,110,19/01/2021 12:57:23,English,25–30,No,,,,,,,,,,,,,,,,
111,111,111,19/01/2021 12:59:07,English,31–37,No,,,,,,,,,,,,,,,,
112,112,112,19/01/2021 13:36:59,English,31–37,No,,,,,,,,,,,,,,,,
113,113,113,19/01/2021 13:58:25,English,18–24,Yes,3,Dogs,"Friends, Family",5.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,Yes,Very likely,Very likely,Likely,Likely,Very likely
114,114,114,19/01/2021 14:15:43,English,31–37,Yes,2,No pets,Acquaintances,4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,Yes,Very unlikely,Likely,Very unlikely,Very unlikely,Unlikely
115,115,115,19/01/2021 14:15:54,English,31–37,Yes,2,No pets,Acquaintances,4.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,Yes,Very unlikely,Likely,Very unlikely,Very unlikely,Unlikely
116,116,116,19/01/2021 14:33:02,English,25–30,Yes,3,No pets,Acquaintances,5.0,Yes,,,,,,,,,,,
117,117,117,19/01/2021 14:41:06,English,31–37,Yes,3,Cats,People I met on app,3.0,Yes,,,,,,,,,,,
118,118,118,19/01/2021 14:56:39,English,31–37,Yes,4,No pets,Acquaintances,2.0,Yes,,,,,,,,,,,
119,119,119,19/01/2021 16:04:04,English,18–24,Yes,,,,,,,,,,,,,,,,
120,120,120,19/01/2021 16:24:04,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,No,,,,,
121,121,121,19/01/2021 16:42:01,English,31–37,Yes,3,Cats,"Friends, Family",3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,Alone,No,,,,,
122,122,122,19/01/2021 22:31:10,English,31–37,No,,,,,,,,,,,,,,,,
123,123,123,19/01/2021 22:43:33,English,25–30,Yes,4,No pets,"Friends, Family",4.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage",Split the cost,All together,Yes,Very likely,Very likely,Very likely,Very likely,Very likely
124,124,124,19/01/2021 22:56:45,English,More than 37,Yes,4,No pets,"Friends, Family",3.0,No,We don't schedule our tasks,Once a week,Cleaning bathroom/toilets,Buy it in turns,Alone,No,,,,,
125,125,125,20/01/2021 11:53:45,English,More than 37,Yes,2,Dogs,"Friends, Family",5.0,Yes,,,,,,,,,,,
126,126,126,20/01/2021 16:34:01,English,25–30,Yes,2,Cats,"Friends, Family",3.0,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Likely,Very likely,Neutral,Likely,Very likely
127,127,127,20/01/2021 22:31:22,,31–37,No,,,,,,,,,,,,,,,,
128,128,128,20/01/2021 22:31:48,,31–37,Yes,3,Cats,Acquaintances,5.0,Yes,,,,,,,,,,,
129,129,129,21/01/2021 11:20:45,,25–30,Yes,2,Dogs,"Friends, Family",4.0,No,Trello,Once a week,Cleaning living-room,We don't really think about it,All together,Yes,Very likely,Very likely,Neutral,Very unlikely,Very likely
130,130,130,18/01/2021 20:58:50,Italian,,No,2,No pets,"Friends, Family",5.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry, Buying common items",I buy my own stuff,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Likely
131,131,131,18/01/2021 21:22:40,Italian,31–37,No,,,,,,,,,,,,,,,,
132,132,132,18/01/2021 21:24:42,Italian,More than 37,Yes,4,Cats,"Friends, Family",4.0,Yes,,,,,,,,,,,
133,133,133,18/01/2021 21:28:59,Italian,More than 37,No,,,,,,,,,,,,,,,,
134,134,134,18/01/2021 23:21:26,Italian,More than 37,No,,,,,,,,,,,,,,,,
135,135,135,19/01/2021 0:29:32,Italian,More than 37,Yes,2,No pets,"Friends, Family",4.0,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Buying common items",We don't really think about it,Alone,No,,,,,
136,136,136,19/01/2021 0:33:28,Italian,More than 37,Yes,2,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,
137,137,137,19/01/2021 0:34:21,Italian,More than 37,No,,,,,,,,,,,,,,,,
138,138,138,19/01/2021 0:39:38,Italian,31–37,Yes,3,Cats,"Friends, Family",5.0,Yes,,,,,,,,,,,
139,139,139,19/01/2021 0:40:54,Italian,25–30,Yes,More than 5,No pets,Acquaintances,2.0,Yes,,,,,,,,,,,
140,140,140,19/01/2021 6:12:05,Italian,More than 37,No,,,,,,,,,,,,,,,,
141,141,141,19/01/2021 8:32:55,Italian,More than 37,No,,,,,,,,,,,,,,,,
142,142,142,19/01/2021 8:34:48,Italian,25–30,Yes,5,No pets,"Friends, Family",2.0,Yes,,,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry, Buying common items",,,,,,,,
143,143,143,19/01/2021 9:02:25,Italian,25–30,Yes,2,Cats,Partner,5.0,No,We don't schedule our tasks,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry, Buying common items",Buy it in turns,Alone,No,,,,,
144,144,144,19/01/2021 9:13:43,Italian,More than 37,Yes,2,Cats,"Friends, Family",4.0,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Laundry, Buying common items",We don't really think about it,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
145,145,145,19/01/2021 9:48:59,Italian,More than 37,Yes,2,Cats,"Friends, Family",3.0,No,We don't schedule our tasks,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry, Buying common items",We don't really think about it,All together,Yes,Very likely,Neutral,Very unlikely,Very likely,Very likely
