habitación centrica con luz gigante,225 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
"Habitación en Poblenou, en piso con muy buenas vistas!!",300 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Habitación doble de ensueño,450 €/mes,HABITACIÓ PRIVADA · 1 COMPANY DE PIS
Bonita habitacion en eixample,480 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
centrica y luminosa habitacion,475 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
Cute studio apartment in gotic. Close sea and Ramblas,650 €/mes,ALLOTJAMENT SENCER · 25 M²
habitacion interior en piso increible en eixample esq,400 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
"Nice private room with a balcony, TV, Monitor, heater.",490 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
HABITACION H3 EN GRAN VIA,400 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
HABITACION EN GRACIA (H5),420 €/mes,HABITACIÓ PRIVADA · 6 COMPANYS DE PIS
Habitación doble interior,400 €/mes,HABITACIÓ PRIVADA · 4 COMPANYS DE PIS
double bedroom near correos,400 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Cozy room in Gracia,350 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
HABITACION/TERRAZA PRIVADA/ROOM WITH PRIVATE TERRACE,450 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
Hab. doble con smart TV cerca de Francesc Macia,320 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Hab. doble con TV cerca de Rambla Catalunya y Diagonal,330 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Hab. doble grande cerca de Diagonal y Rambla Catalunya,499 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Hab. doble exterior con balcón cerca Rambla Catalunya,499 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Hab. enorme con galería cerca de Rambla Catalunya,575 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
Hab. enorme con galería cerca de Rambla Catalunya,599 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
"HABITACION GRANDE,EXTERIOR CON BAÑO PRIVADO",450 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
+++ AMPLIA HABITACION A ESTRENAR SOLO CHICAS +++,4̶9̶0̶ ̶€̶ 475 €/mes,HABITACIÓ PRIVADA · CAP COMPANY DE PIS
BIG DOUBLE ROOM FULL OF LIGHT / HAB DOBLE LUMINOSA,450 €/mes,HABITACIÓ PRIVADA · 5 COMPANYS DE PIS
DOUBLE ROOM IN SAGRADA FAMILIA / HAB DOBLE EN S.FAMILIA,3̶5̶0̶ ̶€̶ 300 €/mes,HABITACIÓ PRIVADA · 5 COMPANYS DE PIS
SINGLE ROOM FULL OF LIGHT / HAB. INDIVIDUAL LUMINOSA,350 €/mes,HABITACIÓ PRIVADA · 5 COMPANYS DE PIS
DOUBLE ROOM FULL OF LIGHT / HAB. DOBLE LUMINOSA,4̶9̶0̶ ̶€̶ 450 €/mes,HABITACIÓ PRIVADA · 5 COMPANYS DE PIS
Tranquila habitacion en piso céntrico,300 €/mes,HABITACIÓ PRIVADA · 3 COMPANYS DE PIS
Super Angebot,300 €/mes,HABITACIÓ PRIVADA · 2 COMPANYS DE PIS
